id,Lat,Lon,HarvestYear,Source,YieldTonHa,MWMT,MCMT,MAT,MAP,Potassium_g_kg_0-20_m,Nitrogen_g_kg_0-20_m,Phosphorus_g_kg_0-20_m,OrganicCarbon_g_kg_0-20_m,irr
9396,0.924404978752136,33.1305084228516,2010,LSMS_UGA2009,0.988420652061104,25.1,22.9,24.1,1671,47,80,22,28,0.0
9397,1.3122570514679,33.8341369628906,2010,LSMS_UGA2009,0.370657744522914,26.0,23.3,24.7,1608,48,75,23,27,0.0
9398,0.696134984493256,34.0029640197754,2010,LSMS_UGA2009,0.61776290753819,25.2,22.6,24.0,1670,44,77,21,26,0.0
9399,0.802708029747009,34.3096466064453,2010,LSMS_UGA2009,1.15830545163411,24.5,21.7,23.1,1686,49,76,27,25,0.0
9400,1.77958202362061,33.0395240783691,2010,LSMS_UGA2009,0.170967594337137,26.4,23.4,24.9,1448,50,83,24,28,0.0
9401,1.97871398925781,32.5296211242676,2010,LSMS_UGA2009,0.205920969179397,26.4,23.5,25.0,1395,49,74,22,27,0.0
9402,0.732909977436066,32.9587593078613,2010,LSMS_UGA2009,0.61776290753819,25.0,22.7,24.0,1659,47,81,22,28,0.0
9403,0.684432983398438,32.3014259338379,2010,LSMS_UGA2009,6.86403230597989,24.6,22.6,23.6,1471,51,101,23,29,0.0
9404,2.31113600730896,32.9849128723145,2010,LSMS_UGA2009,0.437096396843059,26.4,23.6,25.0,1524,49,80,21,28,0.0
9405,2.51362705230713,30.8818950653076,2010,LSMS_UGA2009,0.370657744522914,23.7,21.0,22.1,1380,48,107,25,29,0.0
9406,2.52995300292969,30.7862167358398,2010,LSMS_UGA2009,1.85328872261457,23.6,20.8,22.0,1403,48,99,24,30,0.0
9407,3.34775996208191,31.1935329437256,2010,LSMS_UGA2009,0.24909794658798,27.9,24.8,26.2,1315,48,76,21,24,0.0
9408,1.99999403953552,33.2409324645996,2010,LSMS_UGA2009,0.772203634422738,26.0,23.2,24.7,1507,48,77,22,27,0.0
9409,0.447066992521286,30.1652870178223,2010,LSMS_UGA2009,5.14802422948492,22.1,20.8,21.4,1409,53,119,28,31,0.0
9410,0.887235999107361,30.6932125091553,2010,LSMS_UGA2009,0.874192793686118,23.9,22.0,22.9,1479,49,120,24,31,0.0010309278732165
9411,0.142605006694794,30.495325088501,2010,LSMS_UGA2009,1.23552581507638,23.4,21.8,22.6,1540,50,110,31,29,0.0
9412,2.09265398979187,31.4800834655762,2010,LSMS_UGA2009,1.10314804917534,28.6,25.7,27.0,1158,50,72,25,23,0.0
