id,Lat,Lon,HarvestYear,Source,YieldTonHa,MWMT,MCMT,MAT,MAP,Potassium_g_kg_0-20_m,Nitrogen_g_kg_0-20_m,Phosphorus_g_kg_0-20_m,OrganicCarbon_g_kg_0-20_m
75,5.25625865911,6.61941404124,2011,LSMS_NGA2010,5.26187576126675,28.9,25.7,27.2,2292,44,81,23,25
76,5.31524834074,7.4334346461,2013,LSMS_NGA2012,3.52017977807028,28.6,25.1,26.9,2079,41,77,22,25
77,9.68199592163,11.8269506538,2013,LSMS_NGA2012,0.511875511875512,33.2,25.8,28.6,783,43,60,25,19
78,9.68199592163,11.8269506538,2013,LSMS_NGA2012,1.44296358484626,33.2,25.8,28.6,783,43,60,25,19
79,9.68199592163,11.8269506538,2013,LSMS_NGA2012,0.444129605901594,33.2,25.8,28.6,783,43,60,25,19
80,9.68199592163,11.8269506538,2013,LSMS_NGA2012,9.12450385510288,33.2,25.8,28.6,783,43,60,25,19
81,9.68199592163,11.8269506538,2013,LSMS_NGA2012,0.644407402952245,33.2,25.8,28.6,783,43,60,25,19
82,9.35668119389,12.1731637317,2013,LSMS_NGA2012,0.47378395451674,33.6,26.1,28.8,723,43,44,23,18
83,9.35668119389,12.1731637317,2013,LSMS_NGA2012,3.89408936838149,33.6,26.1,28.8,723,43,44,23,18
84,9.35668119389,12.1731637317,2013,LSMS_NGA2012,3.35221399371003,33.6,26.1,28.8,723,43,44,23,18
85,9.35668119389,12.1731637317,2013,LSMS_NGA2012,0.674490759476595,33.6,26.1,28.8,723,43,44,23,18
86,9.35668119389,12.1731637317,2013,LSMS_NGA2012,0.178189593727726,33.6,26.1,28.8,723,43,44,23,18
87,9.35668119389,12.1731637317,2013,LSMS_NGA2012,0.681013347861618,33.6,26.1,28.8,723,43,44,23,18
88,9.35668119389,12.1731637317,2013,LSMS_NGA2012,0.649197483710553,33.6,26.1,28.8,723,43,44,23,18
89,9.35668119389,12.1731637317,2013,LSMS_NGA2012,2.97766749379653,33.6,26.1,28.8,723,43,44,23,18
